InvoiceNo,StockCode,ProductName,Quantity,InvoiceDate,Date,Month,UnitPrice,Revenue,CustomerID,Country
565318,23288,Green Vintage Spot Beaker,8,2011-09-02 13:01:00,2011-09-02,2011-09,0.85,6.8,12921.0,United Kingdom
571054,23138,Single Wire Hook Ivory Heart,2,2011-10-13 13:58:00,2011-10-13,2011-10,1.45,2.9,14234.0,United Kingdom
541658,85099B,Jumbo Bag Red Retrospot,1,2011-01-20 12:16:00,2011-01-20,2011-01,1.95,1.95,15529.0,United Kingdom
562882,22423,Regency Cakestand 3 Tier,1,2011-08-10 11:23:00,2011-08-10,2011-08,12.75,12.75,12384.0,Switzerland
538996,22423,Regency Cakestand 3 Tier,16,2010-12-15 12:06:00,2010-12-15,2010-12,10.95,175.2,15465.0,United Kingdom
537153,22974,Childrens Dolly Girl Mug,6,2010-12-05 13:03:00,2010-12-05,2010-12,1.65,9.899999999999999,16718.0,United Kingdom
578305,22890,Novelty Biscuits Cake Stand 3 Tier,12,2011-11-23 15:44:00,2011-11-23,2011-11,8.5,102.0,14088.0,United Kingdom
578022,23197,Sketchbook Magnetic Shopping List,1,2011-11-22 13:25:00,2011-11-22,2011-11,1.45,1.45,17371.0,United Kingdom
580730,23571,Traditional Naughts & Crosses,2,2011-12-05 17:28:00,2011-12-05,2011-12,3.29,6.58,,United Kingdom
572751,23486,Antique Heart Shelf Unit,1,2011-10-25 17:21:00,2011-10-25,2011-10,16.65,16.65,17449.0,United Kingdom
539437,72351B,Set/6 Pink Butterfly T-Lights,1,2010-12-17 14:54:00,2010-12-17,2010-12,4.21,4.21,,United Kingdom
564052,23152,Ivory Sweetheart Wire Letter Rack,12,2011-08-22 13:40:00,2011-08-22,2011-08,3.75,45.0,15033.0,United Kingdom
544885,22766,Photo Frame Cornice,8,2011-02-24 11:38:00,2011-02-24,2011-02,2.95,23.6,14243.0,United Kingdom
538816,22509,Sewing Box Retrospot Design,8,2010-12-14 12:35:00,2010-12-14,2010-12,14.95,119.6,16812.0,United Kingdom
568317,22689,Doormat Merry Christmas Red,4,2011-09-26 13:25:00,2011-09-26,2011-09,8.25,33.0,17491.0,United Kingdom
556082,21218,Red Spotty Biscuit Tin,1,2011-06-08 15:22:00,2011-06-08,2011-06,8.29,8.29,,United Kingdom
550968,20724,Red Retrospot Charlotte Bag,10,2011-04-21 16:59:00,2011-04-21,2011-04,0.85,8.5,14961.0,United Kingdom
579130,21868,Potting Shed Tea Mug,12,2011-11-28 12:32:00,2011-11-28,2011-11,1.65,19.799999999999997,14735.0,United Kingdom
560250,20725,Lunch Bag Red Retrospot,5,2011-07-17 12:31:00,2011-07-17,2011-07,1.65,8.25,14659.0,United Kingdom
538877,21080,Set/20 Red Retrospot Paper Napkins,7,2010-12-14 15:29:00,2010-12-14,2010-12,2.51,17.57,,United Kingdom
564756,22096,Pink Paisley Square Tissue Box,2,2011-08-30 10:33:00,2011-08-30,2011-08,2.46,4.92,,United Kingdom
554906,22899,Children'S Apron Dolly Girl,6,2011-05-27 11:41:00,2011-05-27,2011-05,2.1,12.600000000000001,14194.0,United Kingdom
566115,22449,Silk Purse Babushka Pink,6,2011-09-09 10:51:00,2011-09-09,2011-09,3.35,20.1,12674.0,France
550193,21232,Strawberry Ceramic Trinket Box,12,2011-04-15 09:27:00,2011-04-15,2011-04,1.25,15.0,13952.0,United Kingdom
557268,22627,Mint Kitchen Scales,2,2011-06-19 11:26:00,2011-06-19,2011-06,8.5,17.0,13097.0,United Kingdom
549984,20983,12 Pencils Tall Tube Red Retrospot,12,2011-04-13 15:57:00,2011-04-13,2011-04,0.85,10.2,15147.0,United Kingdom
556685,23301,Gardeners Kneeling Pad Keep Calm,12,2011-06-14 10:00:00,2011-06-14,2011-06,1.65,19.799999999999997,14503.0,United Kingdom
576568,23108,Set Of 10 Led Dolly Lights,2,2011-11-15 13:42:00,2011-11-15,2011-11,6.25,12.5,17153.0,United Kingdom
567458,82583,Hot Baths Metal Sign,528,2011-09-20 12:21:00,2011-09-20,2011-09,2.39,1261.92,17450.0,United Kingdom
551857,23283,Doormat Vintage Leaves Design,2,2011-05-04 15:33:00,2011-05-04,2011-05,7.95,15.9,13037.0,United Kingdom
576339,21985,Pack Of 12 Hearts Design Tissues,9,2011-11-14 15:27:00,2011-11-14,2011-11,0.83,7.47,14096.0,United Kingdom
537629,21915,Red Harmonica In Box,12,2010-12-07 15:03:00,2010-12-07,2010-12,1.25,15.0,17419.0,United Kingdom
550331,20727,Lunch Bag Black Skull.,2,2011-04-17 13:43:00,2011-04-17,2011-04,1.65,3.3,15555.0,United Kingdom
558874,22535,Magic Drawing Slate Bunnies,1,2011-07-04 13:29:00,2011-07-04,2011-07,0.42,0.42,,United Kingdom
570672,22840,Round Cake Tin Vintage Red,2,2011-10-11 14:52:00,2011-10-11,2011-10,7.95,15.9,12536.0,France
559499,22554,Plasters In Tin Woodland Animals,1,2011-07-08 14:22:00,2011-07-08,2011-07,3.29,3.29,,United Kingdom
579293,21754,Home Building Block Word,1,2011-11-29 11:22:00,2011-11-29,2011-11,6.25,6.25,14419.0,United Kingdom
565324,22730,Alarm Clock Bakelike Ivory,1,2011-09-02 13:18:00,2011-09-02,2011-09,3.75,3.75,13232.0,United Kingdom
544301,22196,Small Heart Measuring Spoons,1,2011-02-17 12:59:00,2011-02-17,2011-02,0.85,0.85,14606.0,United Kingdom
579414,23264,Set Of 3 Wooden Sleigh Decorations,4,2011-11-29 12:52:00,2011-11-29,2011-11,1.25,5.0,14719.0,United Kingdom
561320,23201,Jumbo Bag Alphabet,7,2011-07-26 12:57:00,2011-07-26,2011-07,2.08,14.56,16942.0,United Kingdom
562542,22717,Card Dog And Ball,12,2011-08-05 15:40:00,2011-08-05,2011-08,0.42,5.04,17377.0,United Kingdom
556809,84997D,Childrens Cutlery Polkadot Pink,10,2011-06-14 16:48:00,2011-06-14,2011-06,4.15,41.5,17179.0,United Kingdom
574550,21126,Set Of 6 Girls Celebration Candles,4,2011-11-04 15:18:00,2011-11-04,2011-11,1.25,5.0,12484.0,Spain
570688,85049H,Urban Black Ribbons,1,2011-10-11 16:29:00,2011-10-11,2011-10,0.83,0.83,,United Kingdom
560035,84792,Enchanted Bird Coathanger 5 Hook,6,2011-07-14 13:41:00,2011-07-14,2011-07,4.65,27.900000000000002,17706.0,United Kingdom
545721,22386,Jumbo Bag Pink Polkadot,20,2011-03-07 10:52:00,2011-03-07,2011-03,1.95,39.0,15039.0,United Kingdom
563104,23332,Ivory Wicker Heart Large,12,2011-08-12 10:13:00,2011-08-12,2011-08,1.65,19.799999999999997,13888.0,United Kingdom
556237,20712,Jumbo Bag Woodland Animals,1,2011-06-09 15:34:00,2011-06-09,2011-06,4.13,4.13,,United Kingdom
542867,84992,72 Sweetheart Fairy Cake Cases,2,2011-02-01 12:22:00,2011-02-01,2011-02,0.55,1.1,,United Kingdom
579187,21982,Pack Of 12 Suki Tissues,1,2011-11-28 15:31:00,2011-11-28,2011-11,0.83,0.83,,United Kingdom
538656,37370,Retro Coffee Mugs Assorted,30,2010-12-13 15:20:00,2010-12-13,2010-12,1.25,37.5,17371.0,United Kingdom
567378,22699,Roses Regency Teacup And Saucer,12,2011-09-20 10:01:00,2011-09-20,2011-09,2.95,35.400000000000006,14911.0,EIRE
573510,22907,Pack Of 20 Napkins Pantry Design,4,2011-10-31 12:21:00,2011-10-31,2011-10,0.85,3.4,14808.0,United Kingdom
578067,23177,Treasure Island Book Box,1,2011-11-22 15:43:00,2011-11-22,2011-11,4.58,4.58,,United Kingdom
550006,85114B,Ivory Enchanted Forest Placemat,8,2011-04-14 10:10:00,2011-04-14,2011-04,1.65,13.2,17841.0,United Kingdom
563952,22188,Black Heart Card Holder,4,2011-08-22 10:44:00,2011-08-22,2011-08,3.95,15.8,15572.0,United Kingdom
562528,22138,Baking Set 9 Piece Retrospot,3,2011-08-05 13:52:00,2011-08-05,2011-08,4.95,14.850000000000001,12610.0,Italy
549587,22829,Sweetheart Wire Wall Tidy,2,2011-04-11 10:01:00,2011-04-11,2011-04,9.95,19.9,15737.0,United Kingdom
539196,20801,Large Pink Glass Sundae Dish,6,2010-12-16 12:09:00,2010-12-16,2010-12,2.55,15.299999999999999,18055.0,United Kingdom
545658,22544,Mini Jigsaw Spaceboy,12,2011-03-04 14:13:00,2011-03-04,2011-03,0.42,5.04,14670.0,United Kingdom
575977,46000S,Polyester Filler Pad 40X40Cm,1,2011-11-13 13:27:00,2011-11-13,2011-11,1.45,1.45,17287.0,United Kingdom
538349,46776D,Woven Sunset Cushion Cover,1,2010-12-10 14:59:00,2010-12-10,2010-12,4.21,4.21,,United Kingdom
541293,22411,Jumbo Shopper Vintage Red Paisley,2,2011-01-17 13:39:00,2011-01-17,2011-01,1.95,3.9,15311.0,United Kingdom
575051,20956,Porcelain T-Light Holders Assorted,24,2011-11-08 12:14:00,2011-11-08,2011-11,1.25,30.0,15957.0,United Kingdom
543300,21733,Red Hanging Heart T-Light Holder,6,2011-02-07 11:42:00,2011-02-07,2011-02,2.95,17.700000000000003,13334.0,United Kingdom
545592,22992,Revolver Wooden Ruler,12,2011-03-04 10:30:00,2011-03-04,2011-03,1.95,23.4,17581.0,United Kingdom
572746,21817,Glitter Christmas Tree,10,2011-10-25 16:30:00,2011-10-25,2011-10,0.39,3.9000000000000004,13263.0,United Kingdom
556573,21868,Potting Shed Tea Mug,6,2011-06-13 13:32:00,2011-06-13,2011-06,1.25,7.5,14667.0,United Kingdom
554030,23088,Zinc Heart Flower T-Light Holder,16,2011-05-20 13:56:00,2011-05-20,2011-05,1.25,20.0,16497.0,United Kingdom
538349,84029G,Knitted Union Flag Hot Water Bottle,16,2010-12-10 14:59:00,2010-12-10,2010-12,3.75,60.0,,United Kingdom
574824,22847,Bread Bin Diner Style Ivory,1,2011-11-07 10:43:00,2011-11-07,2011-11,16.95,16.95,13097.0,United Kingdom
567578,23551,Pack Of 12 Paisley Park Tissues,24,2011-09-21 10:47:00,2011-09-21,2011-09,0.39,9.36,12701.0,Germany
549713,23049,Recycled Acapulco Mat Red,2,2011-04-11 14:11:00,2011-04-11,2011-04,8.25,16.5,17611.0,United Kingdom
561325,22979,Pantry Washing Up Brush,1,2011-07-26 13:46:00,2011-07-26,2011-07,1.45,1.45,17596.0,United Kingdom
561217,23348,Childrens Toy Cooking Utensil Set,1,2011-07-25 17:09:00,2011-07-25,2011-07,4.13,4.13,,United Kingdom
574509,20973,12 Pencil Small Tube Woodland,3,2011-11-04 13:25:00,2011-11-04,2011-11,0.65,1.9500000000000002,16012.0,United Kingdom
571475,23368,Set 12 Colour Pencils Dolly Girl,3,2011-10-17 14:42:00,2011-10-17,2011-10,0.65,1.9500000000000002,15033.0,United Kingdom
565858,21871,Save The Planet Mug,504,2011-09-07 14:30:00,2011-09-07,2011-09,1.06,534.24,17949.0,United Kingdom
542607,35961,Folkart Zinc Heart Christmas Dec,2,2011-01-30 13:48:00,2011-01-30,2011-01,0.85,1.7,13148.0,United Kingdom
568141,21990,Modern Floral Stationery Set,6,2011-09-25 11:21:00,2011-09-25,2011-09,1.25,7.5,16326.0,United Kingdom
567312,22423,Regency Cakestand 3 Tier,2,2011-09-19 13:47:00,2011-09-19,2011-09,12.75,25.5,15500.0,United Kingdom
537829,84988,Set Of 72 Pink Heart Paper Doilies,24,2010-12-08 14:46:00,2010-12-08,2010-12,1.45,34.8,15498.0,United Kingdom
539728,22352,Lunch Box With Cutlery Retrospot,6,2010-12-21 14:26:00,2010-12-21,2010-12,2.55,15.299999999999999,16270.0,United Kingdom
547358,22531,Magic Drawing Slate Circus Parade,12,2011-03-22 12:25:00,2011-03-22,2011-03,0.42,5.04,15998.0,United Kingdom
543387,21509,Cowboys And Indians Birthday Card,72,2011-02-08 09:41:00,2011-02-08,2011-02,0.36,25.919999999999998,14646.0,Netherlands
563848,22757,Large Red Babushka Notebook,12,2011-08-19 14:57:00,2011-08-19,2011-08,1.25,15.0,14911.0,EIRE
537638,22945,Christmas Metal Tags Assorted,1,2010-12-07 15:28:00,2010-12-07,2010-12,11.02,11.02,,United Kingdom
539320,72817,Set Of 2 Christmas Decoupage Candle,24,2010-12-16 19:16:00,2010-12-16,2010-12,1.25,30.0,14911.0,EIRE
578942,22429,Enamel Measuring Jug Cream,2,2011-11-27 13:29:00,2011-11-27,2011-11,4.25,8.5,17288.0,United Kingdom
548732,22023,Empire Birthday Card,12,2011-04-04 10:16:00,2011-04-04,2011-04,0.42,5.04,16142.0,United Kingdom
569241,21914,Blue Harmonica In Box,12,2011-10-03 09:30:00,2011-10-03,2011-10,1.25,15.0,14488.0,United Kingdom
541219,22207,Frying Pan Union Flag,1,2011-01-14 14:06:00,2011-01-14,2011-01,8.29,8.29,,United Kingdom
541684,72801C,4 Rose Pink Dinner Candles,3,2011-01-20 15:22:00,2011-01-20,2011-01,1.25,3.75,15498.0,United Kingdom
546555,85150,Ladies & Gentlemen Metal Sign,12,2011-03-15 09:22:00,2011-03-15,2011-03,2.55,30.599999999999998,17675.0,United Kingdom
574700,84596G,Small Chocolates Pink Bowl,2,2011-11-06 13:53:00,2011-11-06,2011-11,0.42,0.84,16033.0,United Kingdom
563764,22329,Round Container Set Of 5 Retrospot,2,2011-08-19 11:15:00,2011-08-19,2011-08,1.65,3.3,14606.0,United Kingdom
544368,22659,Lunch Box I Love London,4,2011-02-18 11:27:00,2011-02-18,2011-02,1.95,7.8,14057.0,United Kingdom
537624,22737,Ribbon Reel Christmas Present,5,2010-12-07 14:41:00,2010-12-07,2010-12,1.65,8.25,12748.0,United Kingdom
574657,23240,Set Of 4 Knick Knack Tins Doily,1,2011-11-06 11:43:00,2011-11-06,2011-11,4.15,4.15,13772.0,United Kingdom
577594,15056P,Edwardian Parasol Pink,2,2011-11-20 16:07:00,2011-11-20,2011-11,5.95,11.9,13142.0,United Kingdom
574025,21327,Skulls Writing Set,2,2011-11-02 12:26:00,2011-11-02,2011-11,1.65,3.3,12748.0,United Kingdom
547075,22677,French Blue Metal Door Sign 2,10,2011-03-20 14:35:00,2011-03-20,2011-03,1.25,12.5,15288.0,United Kingdom
551468,21992,Vintage Paisley Stationery Set,1,2011-04-28 16:21:00,2011-04-28,2011-04,2.46,2.46,,United Kingdom
550777,84077,World War 2 Gliders Asstd Designs,48,2011-04-20 13:35:00,2011-04-20,2011-04,0.29,13.919999999999998,16558.0,United Kingdom
565967,20727,Lunch Bag Black Skull.,20,2011-09-08 11:27:00,2011-09-08,2011-09,1.65,33.0,14646.0,Netherlands
572054,22734,Set Of 6 Ribbons Vintage Christmas,24,2011-10-20 12:31:00,2011-10-20,2011-10,2.89,69.36,12642.0,Germany
568226,17003,Brocade Ring Purse,72,2011-09-26 10:39:00,2011-09-26,2011-09,0.39,28.080000000000002,16719.0,United Kingdom
574959,23309,Set Of 60 I Love London Cake Cases,1,2011-11-08 10:09:00,2011-11-08,2011-11,0.55,0.55,17886.0,United Kingdom
573151,72349B,Set/6 Purple Butterfly T-Lights,2,2011-10-27 20:09:00,2011-10-27,2011-10,2.1,4.2,17602.0,United Kingdom
576077,84199,Glow In Dark Dolphins,1,2011-11-13 16:22:00,2011-11-13,2011-11,0.21,0.21,16720.0,United Kingdom
537638,22584,Pack Of 6 Pannetone Gift Boxes,2,2010-12-07 15:28:00,2010-12-07,2010-12,5.06,10.12,,United Kingdom
551995,22714,Card Birthday Cowboy,2,2011-05-05 15:42:00,2011-05-05,2011-05,0.83,1.66,,United Kingdom
541569,22328,Round Snack Boxes Set Of 4 Fruits,12,2011-01-19 12:14:00,2011-01-19,2011-01,2.95,35.400000000000006,13520.0,Switzerland
565806,23225,Cherub Heart Decoration Silver,12,2011-09-07 10:51:00,2011-09-07,2011-09,0.83,9.959999999999999,15594.0,United Kingdom
551035,20903,Vintage Keepsake Box Travelogue,2,2011-04-26 11:34:00,2011-04-26,2011-04,6.35,12.7,15065.0,United Kingdom
545980,22367,Childrens Apron Spaceboy Design,1,2011-03-08 12:49:00,2011-03-08,2011-03,1.95,1.95,14730.0,United Kingdom
556813,22231,Jigsaw Tree With Birdhouse,1,2011-06-14 17:28:00,2011-06-14,2011-06,3.29,3.29,,United Kingdom
557021,23287,Red Vintage Spot Beaker,8,2011-06-16 12:55:00,2011-06-16,2011-06,0.85,6.8,17642.0,United Kingdom
573404,23477,Woodland Large Blue Felt Heart,12,2011-10-30 15:50:00,2011-10-30,2011-10,1.25,15.0,14295.0,United Kingdom
546850,22544,Mini Jigsaw Spaceboy,8,2011-03-17 13:20:00,2011-03-17,2011-03,0.42,3.36,13268.0,United Kingdom
570507,23275,Set Of 3 Hanging Owls Ollie Beak,12,2011-10-11 09:53:00,2011-10-11,2011-10,1.25,15.0,16561.0,United Kingdom
542633,20728,Lunch Bag Cars Blue,3,2011-01-31 10:31:00,2011-01-31,2011-01,4.13,12.39,,United Kingdom
567821,22114,Hot Water Bottle Tea And Sympathy,2,2011-09-22 12:45:00,2011-09-22,2011-09,4.25,8.5,14659.0,United Kingdom
538883,21218,Red Spotty Biscuit Tin,4,2010-12-14 15:56:00,2010-12-14,2010-12,8.47,33.88,,United Kingdom
569414,23206,Lunch Bag Apple Design,9,2011-10-04 10:11:00,2011-10-04,2011-10,4.96,44.64,,United Kingdom
536864,21116,Owl Doorstop,1,2010-12-03 11:27:00,2010-12-03,2010-12,8.47,8.47,,United Kingdom
539453,21430,Set/3 Red Gingham Rose Storage Box,1,2010-12-17 17:08:00,2010-12-17,2010-12,7.62,7.62,,United Kingdom
545568,85116,Black Candelabra T-Light Holder,1,2011-03-03 16:22:00,2011-03-03,2011-03,1.63,1.63,,United Kingdom
554668,47566,Party Bunting,8,2011-05-25 15:19:00,2011-05-25,2011-05,4.95,39.6,18226.0,United Kingdom
571693,22380,Toy Tidy Spaceboy,10,2011-10-18 14:44:00,2011-10-18,2011-10,2.1,21.0,14776.0,United Kingdom
581237,22086,Paper Chain Kit 50'S Christmas,8,2011-12-08 10:40:00,2011-12-08,2011-12,2.95,23.6,15443.0,United Kingdom
574751,23227,Filigree Heart Butterfly White,24,2011-11-07 09:13:00,2011-11-07,2011-11,1.25,30.0,17164.0,United Kingdom
578519,21558,Skull Lunch Box With Cutlery,1,2011-11-24 13:56:00,2011-11-24,2011-11,2.55,2.55,14591.0,United Kingdom
570448,21929,Jumbo Bag Pink Vintage Paisley,10,2011-10-10 14:55:00,2011-10-10,2011-10,2.08,20.8,13224.0,United Kingdom
559355,22215,Cake Stand White Two Tier Lace,2,2011-07-07 18:14:00,2011-07-07,2011-07,8.5,17.0,17007.0,United Kingdom
562893,23245,Set Of 3 Regency Cake Tins,4,2011-08-10 12:25:00,2011-08-10,2011-08,4.95,19.8,17442.0,United Kingdom
579777,23475,Woodland Small Pink Felt Heart,1,2011-11-30 15:13:00,2011-11-30,2011-11,1.63,1.63,,United Kingdom
558751,23341,Pink Diner Wall Clock,1,2011-07-03 11:26:00,2011-07-03,2011-07,8.5,8.5,16009.0,United Kingdom
560262,22605,Wooden Croquet Garden Set,2,2011-07-17 13:40:00,2011-07-17,2011-07,14.95,29.9,14224.0,United Kingdom
561515,21555,Ceramic Strawberry Trinket Tray,1,2011-07-27 15:16:00,2011-07-27,2011-07,2.46,2.46,,United Kingdom
558994,84879,Assorted Colour Bird Ornament,16,2011-07-05 11:58:00,2011-07-05,2011-07,1.69,27.04,13854.0,United Kingdom
551275,23154,Set Of 4 Jam Jar Magnets,12,2011-04-27 13:03:00,2011-04-27,2011-04,2.08,24.96,13285.0,United Kingdom
569330,22645,Ceramic Heart Fairy Cake Money Bank,2,2011-10-03 13:31:00,2011-10-03,2011-10,1.45,2.9,15311.0,United Kingdom
538351,22081,Ribbon Reel Flora + Fauna,1,2010-12-10 15:17:00,2010-12-10,2010-12,4.21,4.21,,United Kingdom
565445,23101,Silver Stars Table Decoration,4,2011-09-04 14:50:00,2011-09-04,2011-09,0.83,3.32,13548.0,United Kingdom
538854,22191,Ivory Diner Wall Clock,2,2010-12-14 13:44:00,2010-12-14,2010-12,8.5,17.0,13102.0,United Kingdom
560433,84969,Box Of 6 Assorted Colour Teaspoons,1,2011-07-18 15:49:00,2011-07-18,2011-07,3.29,3.29,,United Kingdom
539414,84347,Rotating Silver Angels T-Light Hldr,1,2010-12-17 13:45:00,2010-12-17,2010-12,2.55,2.55,16931.0,United Kingdom
581101,21408,Spotty Pink Duck Doorstop,4,2011-12-07 11:48:00,2011-12-07,2011-12,1.95,7.8,17835.0,United Kingdom
541987,22840,Round Cake Tin Vintage Red,1,2011-01-24 16:05:00,2011-01-24,2011-01,7.95,7.95,14130.0,United Kingdom
553074,21703,Bag 125G Swirly Marbles,4,2011-05-13 11:45:00,2011-05-13,2011-05,0.42,1.68,15529.0,United Kingdom
546891,22265,Easter Decoration Natural Chick,1,2011-03-17 18:18:00,2011-03-17,2011-03,1.25,1.25,,United Kingdom
559549,23209,Lunch Bag Doiley Pattern,2,2011-07-10 15:25:00,2011-07-10,2011-07,1.65,3.3,13230.0,United Kingdom
537468,22531,Magic Drawing Slate Circus Parade,24,2010-12-07 10:36:00,2010-12-07,2010-12,0.42,10.08,12567.0,France
570273,23295,Set Of 12 Mini Loaf Baking Cases,8,2011-10-10 10:51:00,2011-10-10,2011-10,0.83,6.64,13373.0,United Kingdom
554839,22076,6 Ribbons Empire,2,2011-05-26 17:15:00,2011-05-26,2011-05,1.65,3.3,14056.0,United Kingdom
560385,21792,Classic French Style Basket Green,1,2011-07-18 12:53:00,2011-07-18,2011-07,3.95,3.95,14583.0,United Kingdom
559493,21086,Set/6 Red Spotty Paper Cups,1,2011-07-08 13:53:00,2011-07-08,2011-07,1.63,1.63,,United Kingdom
545186,22470,Heart Of Wicker Large,1,2011-02-28 15:05:00,2011-02-28,2011-02,2.95,2.95,17841.0,United Kingdom
558759,21828,Eight Piece Snake Set,2,2011-07-03 12:36:00,2011-07-03,2011-07,1.25,2.5,13148.0,United Kingdom
540154,21025,Space Frog,5,2011-01-05 11:30:00,2011-01-05,2011-01,0.85,4.25,,United Kingdom
540700,20728,Lunch Bag Cars Blue,20,2011-01-11 09:47:00,2011-01-11,2011-01,1.65,33.0,12393.0,Australia
562346,10133,Colouring Pencils Brown Tube,20,2011-08-04 12:14:00,2011-08-04,2011-08,0.42,8.4,16187.0,United Kingdom
557527,85180A,Red Hearts Light Chain,24,2011-06-21 09:44:00,2011-06-21,2011-06,3.81,91.44,13941.0,United Kingdom
