Month,revenue,quantity,orders,customers,aov
2010-12,823746.14,359239,1559,885,528.3811032713278
2011-01,691364.56,387785,1086,741,636.6156169429098
2011-02,523631.89,283555,1100,758,476.0289909090909
2011-03,717639.36,377526,1454,974,493.56214580467673
2011-04,537808.621,308815,1246,856,431.62810674157305
2011-05,770536.02,395738,1681,1056,458.3795478881618
2011-06,761739.9,389213,1533,991,496.8949119373777
2011-07,719221.191,401759,1475,949,487.60758711864406
2011-08,759138.38,421770,1361,935,557.7798530492286
2011-09,1058590.172,570820,1837,1266,576.2603004899293
2011-10,1154979.3,623401,2040,1364,566.1663235294118
2011-11,1509496.33,754507,2769,1664,545.1413253882268
2011-12,638792.68,314248,819,615,779.9666422466423
